Step;Position;Density;Momentum;TotalEnergy
0;0.100000;2.000000;-0.267261;2.000000
0;0.300000;2.000000;0.000000;2.000000
0;0.500000;2.000000;0.000000;2.000000
0;0.700000;2.000000;0.000000;2.000000
0;0.900000;2.000000;0.000000;2.000000
0;1.100000;2.000000;0.000000;2.000000
0;1.300000;2.000000;0.000000;2.000000
0;1.500000;2.000000;0.000000;2.000000
0;1.700000;2.000000;0.000000;2.000000
0;1.900000;2.000000;0.000000;2.000000
0;2.100000;2.000000;0.000000;2.000000
0;2.300000;2.000000;0.000000;2.000000
0;2.500000;2.000000;0.000000;2.000000
0;2.700000;2.000000;0.000000;2.000000
0;2.900000;2.000000;0.000000;2.000000
0;3.100000;2.000000;0.000000;2.000000
0;3.300000;2.000000;0.000000;2.000000
0;3.500000;2.000000;0.000000;2.000000
0;3.700000;2.000000;0.000000;2.000000
0;3.900000;2.000000;0.000000;2.000000
0;4.100000;2.000000;0.000000;2.000000
0;4.300000;2.000000;0.000000;2.000000
0;4.500000;2.000000;0.000000;2.000000
0;4.700000;2.000000;0.000000;2.000000
0;4.900000;2.000000;0.000000;2.000000
0;5.100000;2.000000;0.000000;2.000000
0;5.300000;2.000000;0.000000;2.000000
0;5.500000;2.000000;0.000000;2.000000
0;5.700000;2.000000;0.000000;2.000000
0;5.900000;2.000000;0.000000;2.000000
0;6.100000;2.000000;0.000000;2.000000
0;6.300000;2.000000;0.000000;2.000000
0;6.500000;2.000000;0.000000;2.000000
0;6.700000;2.000000;0.000000;2.000000
0;6.900000;2.000000;0.000000;2.000000
0;7.100000;2.000000;0.000000;2.000000
0;7.300000;2.000000;0.000000;2.000000
0;7.500000;2.000000;0.000000;2.000000
0;7.700000;2.000000;0.000000;2.000000
0;7.900000;2.000000;0.000000;2.000000
0;8.100000;2.000000;0.000000;2.000000
0;8.300000;2.000000;0.000000;2.000000
0;8.500000;2.000000;0.000000;2.000000
0;8.700000;2.000000;0.000000;2.000000
0;8.900000;2.000000;0.000000;2.000000
0;9.100000;2.000000;0.000000;2.000000
0;9.300000;2.000000;0.000000;2.000000
0;9.500000;2.000000;0.000000;2.000000
0;9.700000;2.000000;0.000000;2.000000
0;9.900000;2.000000;0.000000;2.000000
0;10.100000;2.000000;0.000000;2.000000
0;10.300000;2.000000;0.000000;2.000000
0;10.500000;2.000000;0.000000;2.000000
0;10.700000;2.000000;0.000000;2.000000
0;10.900000;2.000000;0.000000;2.000000
0;11.100000;2.000000;0.000000;2.000000
0;11.300000;2.000000;0.000000;2.000000
0;11.500000;2.000000;0.000000;2.000000
0;11.700000;2.000000;0.000000;2.000000
0;11.900000;2.000000;0.000000;2.000000
0;12.100000;2.000000;0.000000;2.000000
0;12.300000;2.000000;0.000000;2.000000
0;12.500000;2.000000;0.000000;2.000000
0;12.700000;2.000000;0.000000;2.000000
0;12.900000;2.000000;0.000000;2.000000
0;13.100000;2.000000;0.000000;2.000000
0;13.300000;2.000000;0.000000;2.000000
0;13.500000;2.000000;0.000000;2.000000
0;13.700000;2.000000;0.000000;2.000000
0;13.900000;2.000000;0.000000;2.000000
0;14.100000;2.000000;0.000000;2.000000
0;14.300000;2.000000;0.000000;2.000000
0;14.500000;2.000000;0.000000;2.000000
0;14.700000;2.000000;0.000000;2.000000
